assembly_a	assembly_b	rapd_distance	mash_distance	auxiliary_distance
GCA_001951205.1	GCA_026653275.1	0.01176471	0.00450536	0.883804
GCA_001951205.1	GCA_026653375.1	0.01176471	0.00471818	0.88005376
GCA_001951205.1	GCA_026653475.1	0.01176471	0.00421836	0.88255671
GCA_001951205.1	GCA_026653595.1	0.03488372	0.00557898	0.90470975
GCA_001951205.1	GCA_026653705.1	0.04651163	0.0069065	0.89147545
GCA_001951205.1	GCA_026654635.1	0.10869565	0.0101794	0.91551892
GCA_001951205.1	GCA_026656465.1	0.04597701	0.00459581	0.88417764
GCA_001951205.1	GCA_029226625.1	0.04651163	0.00692779	0.883804
GCA_001951205.1	GCA_030463195.1	0.02325581	0.0040781	0.86505504
GCA_026652225.1	GCA_026652245.1	0.02325581	0.00441227	0.89575972
GCA_026652225.1	GCA_026652265.1	0.02298851	0.00408417	0.87514061
GCA_026652225.1	GCA_026652275.1	0.01162791	0.00397212	0.88218198
GCA_026652225.1	GCA_026652285.1	0.02298851	0.00312935	0.88130663
GCA_026652225.1	GCA_026652305.1	0.02325581	0.00347507	0.881807
GCA_026652225.1	GCA_026652315.1	0.01162791	0.00305472	0.87400068
GCA_026652225.1	GCA_026652355.1	0.01162791	0.00443085	0.90650629
GCA_026652225.1	GCA_026652695.1	0.02325581	0.00438135	0.88280639
GCA_026652225.1	GCA_026652705.1	0.0	0.00336684	0.87438091
GCA_026652225.1	GCA_026652995.1	0.03448276	0.00310635	0.87640449
GCA_026652225.1	GCA_026653275.1	0.0	0.00199433	0.87273137
GCA_026652225.1	GCA_026653375.1	0.0	0.00346627	0.88268156
GCA_026652225.1	GCA_026653475.1	0.0	0.00312072	0.88255671
GCA_026652225.1	GCA_026653595.1	0.02325581	0.00402351	0.91138689
GCA_026652225.1	GCA_026653705.1	0.03488372	0.00573148	0.89012209
GCA_026652225.1	GCA_026654635.1	0.09782609	0.00865422	0.90422967
GCA_026652225.1	GCA_026656465.1	0.03448276	0.00339602	0.88790036
GCA_026652225.1	GCA_029226625.1	0.03488372	0.00600989	0.88392857
GCA_026652225.1	GCA_030463195.1	0.01162791	0.00384578	0.8850485
GCA_026652245.1	GCA_026652265.1	0.02298851	0.00528748	0.89892094
GCA_026652245.1	GCA_026652275.1	0.01162791	0.00518381	0.89892094
GCA_026652245.1	GCA_026652285.1	0.02298851	0.00482871	0.89600353
GCA_026652245.1	GCA_026652305.1	0.02325581	0.00467102	0.90410959
GCA_026652245.1	GCA_026652315.1	0.01162791	0.00483188	0.89916336
GCA_026652245.1	GCA_026652355.1	0.01162791	0.00296617	0.88901233
GCA_026652245.1	GCA_026652695.1	0.0	0.00456145	0.9029073
GCA_026652245.1	GCA_026652705.1	0.02325581	0.0052032	0.89624724
GCA_026652245.1	GCA_026652995.1	0.03448276	0.00499739	0.90710383
GCA_026652245.1	GCA_026653275.1	0.02325581	0.00405078	0.8831807
GCA_026652245.1	GCA_026653375.1	0.02325581	0.00336975	0.88802402
GCA_026652245.1	GCA_026653475.1	0.02325581	0.0038908	0.8909837
GCA_026652245.1	GCA_026653595.1	0.0	0.00263042	0.883804
GCA_026652245.1	GCA_026653705.1	0.01176471	0.00533954	0.90254609
GCA_026652245.1	GCA_026654635.1	0.07692308	0.00726447	0.91469503
GCA_026652245.1	GCA_026656465.1	0.03448276	0.00322742	0.88080582
GCA_026652245.1	GCA_029226625.1	0.01176471	0.00611836	0.90674538
GCA_026652245.1	GCA_030463195.1	0.01162791	0.00546379	0.90698437
GCA_026652265.1	GCA_026652275.1	0.01149425	0.00287523	0.86350722
GCA_026652265.1	GCA_026652285.1	0.02272727	0.0034692	0.86479737
GCA_026652265.1	GCA_026652305.1	0.02298851	0.00444635	0.88042991
GCA_026652265.1	GCA_026652315.1	0.01149425	0.00339602	0.86877828
GCA_026652265.1	GCA_026652355.1	0.01149425	0.00566834	0.90936852
GCA_026652265.1	GCA_026652695.1	0.02298851	0.00427048	0.88155687
GCA_026652265.1	GCA_026652705.1	0.02298851	0.00399931	0.8672406
GCA_026652265.1	GCA_026652995.1	0.03409091	0.0040326	0.86762541
GCA_026652265.1	GCA_026653275.1	0.02298851	0.00463338	0.88355476
GCA_026652265.1	GCA_026653375.1	0.02298851	0.00476862	0.88814765
GCA_026652265.1	GCA_026653475.1	0.02298851	0.00438135	0.87615194
GCA_026652265.1	GCA_026653595.1	0.02298851	0.00554599	0.90889253
GCA_026652265.1	GCA_026653705.1	0.03448276	0.00514186	0.8875292
GCA_026652265.1	GCA_026654635.1	0.09677419	0.00885328	0.91327972
GCA_026652265.1	GCA_026656465.1	0.03409091	0.00478126	0.88455103
GCA_026652265.1	GCA_029226625.1	0.03448276	0.00512253	0.8756465
GCA_026652265.1	GCA_030463195.1	0.01149425	0.00401443	0.87273137
GCA_026652275.1	GCA_026652285.1	0.01149425	0.00362833	0.86234357
GCA_026652275.1	GCA_026652305.1	0.01162791	0.00445255	0.8893825
GCA_026652275.1	GCA_026652315.1	0.0	0.00353091	0.86711227
GCA_026652275.1	GCA_026652355.1	0.0	0.00567165	0.90805853
GCA_026652275.1	GCA_026652695.1	0.01162791	0.00434123	0.89049151
GCA_026652275.1	GCA_026652705.1	0.01162791	0.00371142	0.87438091
GCA_026652275.1	GCA_026652995.1	0.02298851	0.00368467	0.87463426
GCA_026652275.1	GCA_026653275.1	0.01162791	0.00463964	0.8704394
GCA_026652275.1	GCA_026653375.1	0.01162791	0.00468044	0.88678615
GCA_026652275.1	GCA_026653475.1	0.01162791	0.00446186	0.88255671
GCA_026652275.1	GCA_026653595.1	0.01162791	0.00571484	0.90782001
GCA_026652275.1	GCA_026653705.1	0.02325581	0.00521938	0.89270291
GCA_026652275.1	GCA_026654635.1	0.08695652	0.00884544	0.91197911
GCA_026652275.1	GCA_026656465.1	0.02298851	0.00465219	0.88529707
GCA_026652275.1	GCA_029226625.1	0.02325581	0.00510644	0.86839425
GCA_026652275.1	GCA_030463195.1	0.0	0.00394798	0.87980285
GCA_026652285.1	GCA_026652305.1	0.02298851	0.00402049	0.87653073
GCA_026652285.1	GCA_026652315.1	0.01149425	0.000285886	0.85386819
GCA_026652285.1	GCA_026652355.1	0.01149425	0.00534932	0.91114983
GCA_026652285.1	GCA_026652695.1	0.02298851	0.00432583	0.87980285
GCA_026652285.1	GCA_026652705.1	0.02298851	0.00339894	0.87209565
GCA_026652285.1	GCA_026652995.1	0.03409091	0.00305186	0.87209565
GCA_026652285.1	GCA_026653275.1	0.02298851	0.00360466	0.87476089
GCA_026652285.1	GCA_026653375.1	0.02298851	0.00382481	0.87892377
GCA_026652285.1	GCA_026653475.1	0.02298851	0.00347507	0.86941775
GCA_026652285.1	GCA_026653595.1	0.02298851	0.00485407	0.90936852
GCA_026652285.1	GCA_026653705.1	0.03448276	0.00562195	0.8906146
GCA_026652285.1	GCA_026654635.1	0.09677419	0.00908213	0.9048297
GCA_026652285.1	GCA_026656465.1	0.03409091	0.00408113	0.87917507
GCA_026652285.1	GCA_029226625.1	0.03448276	0.00558889	0.87311246
GCA_026652285.1	GCA_030463195.1	0.01149425	0.00381882	0.86672711
GCA_026652305.1	GCA_026652315.1	0.01162791	0.0039691	0.87716146
GCA_026652305.1	GCA_026652355.1	0.01162791	0.00474023	0.90734266
GCA_026652305.1	GCA_026652695.1	0.02325581	0.00368467	0.88616618
GCA_026652305.1	GCA_026652705.1	0.02325581	0.00391184	0.88888889
GCA_026652305.1	GCA_026652995.1	0.01162791	0.00351032	0.88118147
GCA_026652305.1	GCA_026653275.1	0.02325581	0.0039299	0.88827126
GCA_026652305.1	GCA_026653375.1	0.02325581	0.00428584	0.88653825
GCA_026652305.1	GCA_026653475.1	0.02325581	0.00369061	0.88455103
GCA_026652305.1	GCA_026653595.1	0.02325581	0.00470559	0.90662585
GCA_026652305.1	GCA_026653705.1	0.03488372	0.005268	0.89012209
GCA_026652305.1	GCA_026654635.1	0.09782609	0.00848024	0.90924956
GCA_026652305.1	GCA_026656465.1	0.01162791	0.00382182	0.88666221
GCA_026652305.1	GCA_029226625.1	0.03488372	0.00581155	0.89429456
GCA_026652305.1	GCA_030463195.1	0.01162791	0.00415114	0.8903684
GCA_026652315.1	GCA_026652355.1	0.0	0.00527774	0.90960637
GCA_026652315.1	GCA_026652695.1	0.01162791	0.00424287	0.88417764
GCA_026652315.1	GCA_026652705.1	0.01162791	0.00329408	0.86813809
GCA_026652315.1	GCA_026652995.1	0.02298851	0.00294623	0.86182563
GCA_026652315.1	GCA_026653275.1	0.01162791	0.00367279	0.87158655
GCA_026652315.1	GCA_026653375.1	0.01162791	0.00386977	0.87387387
GCA_026652315.1	GCA_026653475.1	0.01162791	0.00353975	0.88566971
GCA_026652315.1	GCA_026653595.1	0.01162791	0.00490808	0.91434155
GCA_026652315.1	GCA_026653705.1	0.02325581	0.0055427	0.89356052
GCA_026652315.1	GCA_026654635.1	0.08695652	0.00897527	0.91481281
GCA_026652315.1	GCA_026656465.1	0.02298851	0.00411154	0.88950583
GCA_026652315.1	GCA_029226625.1	0.02325581	0.00549334	0.87539361
GCA_026652315.1	GCA_030463195.1	0.0	0.00374119	0.86685552
GCA_026652355.1	GCA_026652695.1	0.01162791	0.00475285	0.89892094
GCA_026652355.1	GCA_026652705.1	0.01162791	0.00545395	0.90326826
GCA_026652355.1	GCA_026652995.1	0.02298851	0.00536889	0.90984411
GCA_026652355.1	GCA_026653275.1	0.01162791	0.00421836	0.90362899
GCA_026652355.1	GCA_026653375.1	0.01162791	0.00369358	0.90146106
GCA_026652355.1	GCA_026653475.1	0.01162791	0.00409025	0.90686489
GCA_026652355.1	GCA_026653595.1	0.01162791	0.00227925	0.89184397
GCA_026652355.1	GCA_026653705.1	0.02325581	0.00546707	0.90542907
GCA_026652355.1	GCA_026654635.1	0.08695652	0.00674409	0.90948746
GCA_026652355.1	GCA_026656465.1	0.02298851	0.00344282	0.90278692
GCA_026652355.1	GCA_029226625.1	0.02325581	0.00638544	0.90049478
GCA_026652355.1	GCA_030463195.1	0.0	0.00588526	0.90817775
GCA_026652695.1	GCA_026652705.1	0.02325581	0.00475916	0.89624724
GCA_026652695.1	GCA_026652995.1	0.03448276	0.0046052	0.8851728
GCA_026652695.1	GCA_026653275.1	0.02325581	0.00471818	0.88629023
GCA_026652695.1	GCA_026653375.1	0.02325581	0.00474338	0.88703395
GCA_026652695.1	GCA_026653475.1	0.02325581	0.00452404	0.87892377
GCA_026652695.1	GCA_026653595.1	0.0	0.00489218	0.90458977
GCA_026652695.1	GCA_026653705.1	0.01176471	0.00451781	0.87992832
GCA_026652695.1	GCA_026654635.1	0.07692308	0.00784041	0.91126837
GCA_026652695.1	GCA_026656465.1	0.03448276	0.00449914	0.88864192
GCA_026652695.1	GCA_029226625.1	0.01176471	0.00513863	0.88566971
GCA_026652695.1	GCA_030463195.1	0.01162791	0.00487311	0.8893825
GCA_026652705.1	GCA_026652995.1	0.03448276	0.00226284	0.85688157
GCA_026652705.1	GCA_026653275.1	0.0	0.00390583	0.87171387
GCA_026652705.1	GCA_026653375.1	0.0	0.00378892	0.88155687
GCA_026652705.1	GCA_026653475.1	0.0	0.0029178	0.87653073
GCA_026652705.1	GCA_026653595.1	0.02325581	0.00481604	0.91186072
GCA_026652705.1	GCA_026653705.1	0.03488372	0.00629942	0.89600353
GCA_026652705.1	GCA_026654635.1	0.09782609	0.00954387	0.90770071
GCA_026652705.1	GCA_026656465.1	0.03448276	0.00367873	0.88392857
GCA_026652705.1	GCA_029226625.1	0.03488372	0.00623431	0.87741356
GCA_026652705.1	GCA_030463195.1	0.01162791	0.00304613	0.85896851
GCA_026652995.1	GCA_026653275.1	0.03448276	0.00353386	0.88492417
GCA_026652995.1	GCA_026653375.1	0.03448276	0.00372034	0.88405312
GCA_026652995.1	GCA_026653475.1	0.03448276	0.00281582	0.88293119
GCA_026652995.1	GCA_026653595.1	0.03448276	0.00474654	0.90901156
GCA_026652995.1	GCA_026653705.1	0.04597701	0.00633378	0.89196676
GCA_026652995.1	GCA_026654635.1	0.08695652	0.00949113	0.91645899
GCA_026652995.1	GCA_026656465.1	0.0	0.0024332	0.88330542
GCA_026652995.1	GCA_029226625.1	0.04597701	0.00624115	0.88330542
GCA_026652995.1	GCA_030463195.1	0.02298851	0.0032043	0.86039886
GCA_026653275.1	GCA_026653375.1	0.0	0.0032361	0.87056698
GCA_026653275.1	GCA_026653475.1	0.0	0.00315525	0.86903416
GCA_026653275.1	GCA_026653595.1	0.02325581	0.00365796	0.90061566
GCA_026653275.1	GCA_026653705.1	0.03488372	0.00606744	0.89709937
GCA_026653275.1	GCA_026654635.1	0.09782609	0.00854965	0.90817775
GCA_026653275.1	GCA_026656465.1	0.03448276	0.00303182	0.88155687
GCA_026653275.1	GCA_029226625.1	0.03488372	0.00644417	0.88293119
GCA_026653275.1	GCA_030463195.1	0.01162791	0.00437209	0.87892377
GCA_026653375.1	GCA_026653475.1	0.0	0.00277914	0.87488749
GCA_026653375.1	GCA_026653595.1	0.02325581	0.00307191	0.89294808
GCA_026653375.1	GCA_026653705.1	0.03488372	0.00598962	0.89221225
GCA_026653375.1	GCA_026654635.1	0.09782609	0.00816337	0.90398948
GCA_026653375.1	GCA_026656465.1	0.03448276	0.0028356	0.88055524
GCA_026653375.1	GCA_029226625.1	0.03488372	0.0064096	0.8851728
GCA_026653375.1	GCA_030463195.1	0.01162791	0.00453339	0.88765295
GCA_026653475.1	GCA_026653595.1	0.02325581	0.00342526	0.90362899
GCA_026653475.1	GCA_026653705.1	0.03488372	0.00607083	0.89746417
GCA_026653475.1	GCA_026654635.1	0.09782609	0.00857671	0.90674538
GCA_026653475.1	GCA_026656465.1	0.03448276	0.00267238	0.87107699
GCA_026653475.1	GCA_029226625.1	0.03488372	0.00640269	0.88629023
GCA_026653475.1	GCA_030463195.1	0.01162791	0.00376205	0.87690925
GCA_026653595.1	GCA_026653705.1	0.01176471	0.00581155	0.91150539
GCA_026653595.1	GCA_026654635.1	0.07692308	0.00719593	0.91292532
GCA_026653595.1	GCA_026656465.1	0.03448276	0.00265278	0.8961254
GCA_026653595.1	GCA_029226625.1	0.01176471	0.00664941	0.91055671
GCA_026653595.1	GCA_030463195.1	0.01162791	0.00544084	0.90913058
GCA_026653705.1	GCA_026654635.1	0.06666667	0.0072717	0.90841611
GCA_026653705.1	GCA_026656465.1	0.04597701	0.00587855	0.89904217
GCA_026653705.1	GCA_029226625.1	0.0	0.000906124	0.86992881
GCA_026653705.1	GCA_030463195.1	0.02325581	0.00598625	0.89831442
GCA_026654635.1	GCA_026656465.1	0.08695652	0.00794123	0.91268892
GCA_026654635.1	GCA_029226625.1	0.06666667	0.00806893	0.89831442
GCA_026654635.1	GCA_030463195.1	0.08695652	0.0095886	0.91504828
GCA_026656465.1	GCA_029226625.1	0.04597701	0.00641305	0.8875292
GCA_026656465.1	GCA_030463195.1	0.02298851	0.00428276	0.89135255
GCA_029226625.1	GCA_030463195.1	0.02325581	0.00592222	0.87362018
